Nombre de Archivo,Fecha de Creación,Fecha de Último Acceso,Tamaño del Archivo (bytes),Tipo de Archivo
BI Analyst JD Braintrust.docx,2022-05-24 11:46:02,2022-06-14 10:33:13,14778,application/vnd.openxmlformats-officedocument.wordprocessingml.document
BI inglés.docx,2019-05-13 22:47:28,2022-03-24 22:58:02,1575883,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Big Data Analytics (1).pptx,2022-10-02 21:57:36,2022-10-05 21:29:14,46972,application/vnd.openxmlformats-officedocument.presentationml.presentation
Big Data Analytics (2).pptx,2022-10-05 14:56:06,2022-10-05 21:29:14,46972,application/vnd.openxmlformats-officedocument.presentationml.presentation
Big Data Analytics (3).pptx,2022-10-19 12:52:23,2022-10-19 12:52:32,45474,application/vnd.openxmlformats-officedocument.presentationml.presentation
Big Data Analytics (4).pptx,2022-11-02 10:37:17,2022-11-02 10:38:29,45474,application/vnd.openxmlformats-officedocument.presentationml.presentation
Big Data Analytics (5).pptx,2022-11-02 10:37:39,2022-11-02 12:08:10,46972,application/vnd.openxmlformats-officedocument.presentationml.presentation
Big Data Analytics.pptx,2022-09-28 15:06:25,2022-09-29 20:57:12,46972,application/vnd.openxmlformats-officedocument.presentationml.presentation
Big Data Engineer JD Wayfair.docx,2022-04-12 17:36:06,2022-04-14 13:23:17,15888,application/vnd.openxmlformats-officedocument.wordprocessingml.document
BIG DATA INTRODUCTION.pptx,2022-09-14 14:50:37,2023-04-12 17:20:20,1761395,application/vnd.openxmlformats-officedocument.presentationml.presentation
Big Data.pptx,2022-09-21 15:15:30,2023-04-12 17:20:18,6669651,application/vnd.openxmlformats-officedocument.presentationml.presentation
bikeRental.ipynb,2023-12-12 11:29:58,2023-12-12 11:29:58,451317,Desconocido
BL 0453.pdf,2020-10-18 13:30:35,2022-03-24 22:58:02,541643,application/pdf
Blair Myers Background Ontologies and Graph Databases.docx,2022-04-08 10:20:03,2022-04-11 13:14:53,58335,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Blair_Myers_April_2022_Resume_Dir.docx,2022-04-08 10:20:03,2022-04-11 13:14:53,73372,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Blake Nouribekian CV.pdf,2022-06-06 15:08:08,2022-06-06 15:49:48,45815,application/pdf
Blue Leave the Office Early Day Social Media Graphic (1).png,2019-03-24 21:49:23,2023-11-21 10:59:46,111713,image/png
Blue Leave the Office Early Day Social Media Graphic.png,2019-03-24 21:35:53,2023-11-21 10:59:46,123305,image/png
BMI 31 Años Vida Jubilacion 20 años.pdf,2023-02-28 21:48:00,2023-02-28 21:48:15,249495,application/pdf
Boeing Case reflection.docx,2023-11-15 20:38:06,2023-11-15 20:38:42,16199,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Boeings Fatal Flaw (1).pdf,2023-11-15 15:43:40,2023-11-15 15:44:44,67831,application/pdf
BPM & BPI Review (1).docx,2023-04-19 09:26:28,2023-09-18 20:32:16,563482,application/vnd.openxmlformats-officedocument.wordprocessingml.document
BPM & BPI Review.docx,2023-04-12 18:52:58,2023-09-18 20:32:16,563482,application/vnd.openxmlformats-officedocument.wordprocessingml.document
BPMN Notation Detail (1).docx,2023-03-06 10:58:03,2023-03-17 11:45:13,85710,application/vnd.openxmlformats-officedocument.wordprocessingml.document
BPMN Notation Detail.docx,2023-02-12 21:56:13,2023-02-21 10:20:47,85710,application/vnd.openxmlformats-officedocument.wordprocessingml.document
BPMN presentation - Assignment 4 (Full).pptx,2023-04-12 18:04:18,2023-04-12 18:08:19,3263408,application/vnd.openxmlformats-officedocument.presentationml.presentation
Braden_Finch_Resume.pdf,2022-02-24 15:27:04,2022-03-24 22:58:02,72236,application/pdf
Bradley.pdf,2022-05-25 09:05:15,2022-05-25 09:05:31,225706,application/pdf
Brampton_Business_Directory.csv,2023-11-20 09:59:30,2023-11-20 10:02:14,4648327,application/vnd.ms-excel
Brampton_Business_Directory.geojson,2023-11-16 20:05:28,2023-11-16 21:34:59,13405173,Desconocido
Brampton_Business_Directory_updated.csv,2023-11-20 10:07:29,2023-11-20 11:08:38,4714720,application/vnd.ms-excel
brampton_business_map (1).html,2023-11-18 13:20:04,2023-11-18 13:43:58,11394624,text/html
brampton_business_map (2).html,2023-11-20 10:14:28,2023-11-20 10:15:08,11666513,text/html
brampton_business_map (3).html,2023-11-28 17:36:05,2024-03-11 15:12:08,11666513,text/html
brampton_business_map (4).html,2024-03-12 09:54:15,2024-03-12 09:54:20,11666513,text/html
brampton_business_map.html,2023-11-16 21:22:32,2024-03-09 12:47:03,3373,text/html
brampton_business_map2.html,2023-11-18 14:53:28,2023-11-18 15:31:48,11666513,text/html
brampton_business_map_10+.html,2023-11-20 10:34:20,2023-11-20 10:34:24,2708536,text/html
Brand Presentation.pdf,2024-01-18 10:00:17,2024-01-18 10:04:09,1993372,application/pdf
brawncv.pdf,2022-07-05 19:23:27,2022-07-05 19:23:31,247845,application/pdf
Brennan_Christen.pdf,2022-02-08 10:00:48,2022-03-24 22:58:02,74628,application/pdf
Brian Johnson CV.pdf,2022-04-27 18:31:03,2022-04-27 18:31:32,64549,application/pdf
brianyacono7-2021.pdf,2022-06-08 11:59:58,2022-06-08 12:30:28,313279,application/pdf
Brian_B._Canin_Resume_2022b.pdf,2022-01-31 10:55:01,2022-03-24 22:58:02,241493,application/pdf
Brian_Guzman_Resume.pdf,2022-07-04 18:42:52,2022-07-04 19:04:06,424667,application/pdf
Brice Zakra RESUME (3).pdf,2022-07-06 13:29:00,2022-07-06 13:29:05,381238,application/pdf
BrooksChen.pdf,2022-06-14 22:40:04,2022-06-14 22:41:08,117642,application/pdf
Bruno Villanova CV.pdf,2022-05-31 10:33:17,2022-05-31 10:33:26,88251,application/pdf
BrunoEGrossi - resume - 202202.pdf,2022-06-26 12:59:30,2022-06-26 13:00:29,610378,application/pdf
Bruno_Marques_resume.pdf,2022-01-28 15:37:19,2022-03-24 22:58:02,86337,application/pdf
buhi-persona-research.zip,2022-10-24 13:43:29,2022-10-24 16:41:27,702319,application/x-zip-compressed
BUHI_CustomersData.csv,2022-09-29 19:46:30,2022-09-30 22:30:45,108868,application/vnd.ms-excel
build_your_own_job_report_2022-02-16.xlsx,2022-02-16 16:40:58,2023-10-07 20:57:20,7525,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
bump-collaboration-colleagues-1068523.jpg,2019-04-03 22:29:42,2023-11-21 10:59:45,1176245,image/jpeg
Bus Case Types.pptx,2023-10-07 12:26:53,2024-02-14 13:11:45,12304534,application/vnd.openxmlformats-officedocument.presentationml.presentation
Bus Plan v Bus Case.pptx,2023-09-23 12:29:14,2023-09-23 19:58:19,14065313,application/vnd.openxmlformats-officedocument.presentationml.presentation
Business Case in-class assignment Carlos Vasconez.docx,2023-09-16 13:50:33,2023-09-16 13:50:34,14259,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Business Case in-class assignment Carlos Vasconez.pdf,2023-09-16 13:49:21,2023-09-16 13:49:22,424627,application/pdf
Business Case Optometry.docx,2023-12-02 13:26:27,2023-12-04 17:22:47,840213,application/vnd.openxmlformats-officedocument.wordprocessingml.document
BUSINESS CASE v 3.0 (1).docx,2022-12-10 19:03:53,2023-01-09 13:21:36,19475,application/vnd.openxmlformats-officedocument.wordprocessingml.document
BUSINESS CASE v 3.0.docx,2022-11-24 21:40:17,2022-11-29 19:21:15,19360,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Business Intelligence & Analytics Manager JD (Hyphen).docx,2022-02-25 10:32:53,2022-03-24 22:58:03,16377,application/vnd.openxmlformats-officedocument.wordprocessingml.document
"Business Intelligence, Analytics, and Data Science_ A Managerial Perspective.pdf",2023-03-21 12:51:45,2023-03-27 09:31:30,80611649,application/pdf
Business-Case-Template-1.docx,2022-11-17 22:26:10,2022-11-23 12:33:23,162661,application/vnd.openxmlformats-officedocument.wordprocessingml.document
business-job-interview-concept.zip,2019-09-08 17:59:11,2022-09-04 17:25:04,6788538,application/x-zip-compressed
Byiringiro CV.pdf,2022-07-17 09:47:33,2022-07-17 09:48:49,72614,application/pdf
C++ Lead - MAC input peripherals JD Logitech.docx,2022-05-03 15:53:26,2022-05-09 09:35:27,16382,application/vnd.openxmlformats-officedocument.wordprocessingml.document
C.png,2019-09-08 18:33:19,2023-11-21 10:59:45,15893,image/png
Calculated Columns.pbix,2023-04-11 19:04:10,2023-04-11 19:04:10,1577189,Desconocido
Calendario Académico Máster en Inteligencia Artificial PER8321.pdf,2023-10-13 21:33:45,2023-10-13 21:33:48,83194,application/pdf
Capstone Report-Customer Analysis.pdf,2023-03-24 11:18:40,2023-03-31 10:22:21,518720,application/pdf
CARLOS GABRIEL VASCONEZ SWETT.pdf,2021-11-23 22:05:07,2022-03-24 22:58:03,312372,application/pdf
Carlos Gabriel_Vasconez_Swett_CV_postgrado_16_01_2017_01_Jan.pdf,2017-01-15 19:35:59,2022-03-24 22:58:03,45429,application/pdf
Carlos Gabriel_Vásconez_Swett_CV_postgrado_16_01_2017_02_Jan (1).pdf,2017-01-15 20:46:49,2022-03-24 22:58:03,50887,application/pdf
Carlos Gabriel_Vásconez_Swett_CV_postgrado_16_01_2017_02_Jan.pdf,2017-01-15 20:29:43,2022-03-24 22:58:03,45607,application/pdf
Carlos Gabriel_Vásconez_Swett_CV_postgrado_16_01_2017_03_Jan.pdf,2017-01-15 21:20:17,2022-03-24 22:58:03,56073,application/pdf
Carlos Gabriel_Vásconez_Swett_CV_postgrado_18_01_2017_02_Jan.pdf,2017-01-17 20:45:27,2022-03-24 22:58:03,56073,application/pdf
carlos letter bb comments.docx,2017-05-05 22:29:10,2023-03-21 19:03:59,33651,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Carlos Vasconez CV.pdf,2022-01-17 10:32:37,2022-03-24 22:58:03,226165,application/pdf
Carlos Vasconez Resume Jan 2023.pdf,2023-01-08 23:16:14,2023-01-08 23:18:27,739921,application/pdf
Carlos Vasconez Swett foto.JPG,2013-11-16 20:10:48,2023-09-18 21:36:24,78438,image/jpeg
Carlos Vasconez Swett.pdf,2023-12-16 11:03:34,2023-12-16 11:06:13,6525,application/pdf
Carlos Vasconez Swett_ (1).png,2023-09-16 21:36:20,2023-11-01 17:00:47,268789,image/png
Carlos Vasconez Swett_.png,2023-01-08 22:56:54,2023-11-21 10:59:12,268789,image/png
Carlos+Vasconez+CV.pdf,2022-01-17 11:17:16,2022-03-24 22:58:03,226165,application/pdf
Carlos.Vasconez (1) (1) (1).pdf,2023-12-05 19:28:22,2023-12-05 19:29:14,159221,application/pdf
Carlos.Vasconez (1) (1) (1)_page-0001.jpg,2023-12-05 19:32:24,2023-12-07 18:02:38,478240,image/jpeg
Carlos.Vasconez (1) (1) (1)_page-0001.pdf,2023-12-05 19:35:36,2023-12-05 19:35:37,237105,application/pdf
Carlos.Vasconez (1) (1) (1)_page-0002.jpg,2023-12-06 00:30:14,2024-01-18 10:25:26,153203,image/jpeg
Carlos.Vasconez (1) (1).pdf,2023-12-05 19:17:20,2023-12-05 19:17:24,158158,application/pdf
Carlos.Vasconez (1).pdf,2023-05-15 14:27:02,2023-05-15 14:27:24,158158,application/pdf
Carlos.Vasconez.pdf,2023-05-15 14:19:07,2023-05-15 14:24:14,123378,application/pdf
Carlos_Perez-2021-resume.pdf,2022-01-17 15:20:05,2022-03-24 22:58:04,103076,application/pdf
carlos_yin_connect_apply_linkedin.pdf,2022-01-28 14:47:06,2022-03-24 22:58:04,57597,application/pdf
CARTA COMPROMISO APROBADA CESANTIA (1).docx,2021-05-24 17:52:18,2022-03-24 22:58:04,56403,application/vnd.openxmlformats-officedocument.wordprocessingml.document
CARTA COMPROMISO APROBADA CESANTIA.docx,2021-05-24 17:51:48,2022-03-24 22:58:04,56403,application/vnd.openxmlformats-officedocument.wordprocessingml.document
CARTA DE IMPUESTO VILLACRES RICARDO-firmado.pdf,2022-07-07 19:25:54,2022-07-07 19:30:55,153118,application/pdf
CARTA DE IMPUESTO VILLACRES RICARDO.pdf,2022-07-07 19:23:08,2022-07-07 19:23:34,99526,application/pdf
Carta de Motivacion- Carlos Gabriel Vasconez Swett.docx,2022-02-08 12:33:21,2023-11-22 23:55:48,25556,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Carta de recomendación-firmado.pdf,2022-01-30 20:49:30,2022-03-24 22:58:04,388257,application/pdf
Carta de Renuncia - Freelance Labs Inc _ Carlos Gabriel V_.pdf,2022-07-26 16:24:26,2022-07-26 17:05:10,995252,application/pdf
CARTA DE SEPARACION (1).pdf,2020-10-18 13:31:17,2022-03-24 22:58:05,67977,application/pdf
CARTA DE SEPARACION.pdf,2020-10-18 13:31:16,2022-03-24 22:58:05,67977,application/pdf
Carta Instrucción Operativa - Abono y Precancelación (1).docx,2022-04-14 15:24:57,2022-04-21 11:44:37,17175,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Carta Instrucción Operativa - Abono y Precancelación (2).docx,2022-07-03 23:00:42,2022-07-12 12:14:56,17293,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Carta Instrucción Operativa - Abono y Precancelación (3).docx,2022-08-03 12:05:59,2022-08-29 09:43:53,17343,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Carta Instrucción Operativa - Abono y Precancelación (Jul 2022)-firmado.pdf,2022-07-02 13:46:17,2022-07-02 13:46:32,228119,application/pdf
Carta Instrucción Operativa - Abono y Precancelación-Abril 2022.pdf,2022-04-14 15:34:56,2022-04-14 15:35:39,416104,application/pdf
Carta Instrucción Operativa - Abono y Precancelación.docx,2022-04-14 16:03:03,2022-04-15 16:44:33,17418,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Carta Visa Gaby Rosero.docx,2022-03-21 22:38:11,2022-04-20 15:21:54,12484,application/vnd.openxmlformats-officedocument.wordprocessingml.document
carvas91@hotmail.com.pdf,2023-11-01 17:43:50,2023-11-01 17:44:27,7065,application/pdf
Case Study 2 -Boeings Fatal Flaw (2).pdf,2023-11-15 15:43:43,2023-11-15 19:22:46,210910,application/pdf
Case Study 2 Admission (1).docx,2023-02-08 19:46:00,2023-02-15 16:32:31,13070,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Case Study 2 Admission (2).docx,2023-02-12 21:31:59,2023-02-21 10:20:47,13070,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Case Study 2 Admission (3).docx,2023-02-21 10:48:28,2023-03-01 11:05:57,13070,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Case Study 2 Admission (4).docx,2023-03-22 19:48:32,2023-04-12 17:19:33,13070,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Case Study 2 Admission.docx,2023-02-01 18:23:08,2023-02-03 14:52:51,13070,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Case Study Allocation.xlsx,2023-04-14 11:28:32,2023-10-07 20:24:25,10126,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
Case Study XYZ company.xlsx,2023-02-06 12:57:41,2023-02-21 10:19:53,14422,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
Case Study.pdf,2023-01-25 21:54:25,2023-01-27 15:45:47,137419,application/pdf
Case study_steve.xlsx,2023-02-06 16:04:02,2023-10-07 20:56:52,29073,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
cate_bramble_connect_apply_linkedin.pdf,2022-02-24 09:45:06,2022-03-24 22:58:05,48630,application/pdf
Catálogo Servicios Servicios SRI en Línea.xlsx,2022-01-15 15:55:30,2024-01-31 23:21:28,87183,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
CBCovid19EC A dataset Complete Blood Count and PCR test for COVID-19 detection in Ecuadorian population.zip,2023-12-05 11:22:13,2023-12-05 11:22:49,160634,application/x-zip-compressed
ccsetup602.exe,2022-08-21 10:12:46,2023-11-21 10:58:25,49899376,application/x-msdownload
ce Cream Party.png,2017-12-10 16:39:18,2022-09-04 20:43:34,107448,image/png
CEACAA00AX4SOV.PDF,2022-08-10 16:21:02,2022-08-10 16:22:13,152419,application/pdf
CED.docx,2021-05-20 21:50:57,2022-03-24 22:58:05,2419439,application/vnd.openxmlformats-officedocument.wordprocessingml.document
CEDULA HUGO VILLAGOMEZ LUQUE FRONTAL.pdf,2021-02-28 11:47:25,2022-03-24 22:58:05,642046,application/pdf
CEDULA HUGO VILLAGOMEZ LUQUE REVERSO.pdf,2021-02-28 11:48:17,2022-03-24 22:58:06,451921,application/pdf
CEDULA Y CERTIFICADO DE VOTACION R VASCONEZ (1).pdf,2021-05-17 09:21:24,2022-03-24 22:58:06,468041,application/pdf
CEDULA Y CERTIFICADO DE VOTACION R VASCONEZ (2).pdf,2021-05-17 09:21:24,2022-03-24 22:58:06,468041,application/pdf
CEDULA Y CERTIFICADO DE VOTACION R VASCONEZ (3).pdf,2022-03-10 17:42:28,2022-03-24 22:58:06,468041,application/pdf
CEDULA Y CERTIFICADO DE VOTACION R VASCONEZ (4).pdf,2022-03-11 09:02:05,2024-03-20 13:53:04,468041,application/pdf
CEDULA Y CERTIFICADO DE VOTACION R VASCONEZ.pdf,2021-05-17 09:21:24,2022-03-24 22:58:06,468041,application/pdf
cedula.pdf,2020-06-23 11:00:19,2022-09-02 22:12:22,156934,application/pdf
CERCO DENGUE 08-ENERO.doc,2020-06-28 13:40:08,2022-09-03 10:37:23,5847040,application/msword
CERTIFICADO CARLOS VASCONEZ.pdf,2024-03-10 22:25:38,2024-03-10 22:25:44,587035,application/pdf
Certificado de vacunacion - Copy_page-0001.jpg,2022-07-17 12:24:58,2023-11-21 10:59:01,462567,image/jpeg
Certificado Vasconez Ballesteros Ruben Dario.pdf,2021-11-16 20:15:49,2022-03-24 22:58:06,480991,application/pdf
CERTIFICADO VASCONEZ SWETT CARLOS GABRIEL.pdf,2022-02-17 13:53:21,2022-03-24 22:58:06,294629,application/pdf
Certificado votación.PDF,2022-03-24 23:04:21,2022-12-07 14:07:18,146319,application/pdf
certificadoAfiliacion0907476543 (1).pdf,2021-03-22 21:12:40,2022-03-24 22:58:06,76493,application/pdf
certificadoAfiliacion0907476543.pdf,2021-03-22 21:05:39,2022-03-24 22:58:06,76493,application/pdf
certificadoPensionista0906319975.pdf,2021-11-07 10:59:25,2022-03-24 22:58:06,81861,application/pdf
certificadoPensionista0907476543 (1).pdf,2021-03-22 21:27:06,2022-03-24 22:58:07,81565,application/pdf
certificadoPensionista0907476543 (2).pdf,2021-03-22 21:32:35,2022-03-24 22:58:07,81565,application/pdf
certificadoPensionista0907476543 (3).pdf,2021-07-09 10:36:06,2022-03-24 22:58:07,81860,application/pdf
certificadoPensionista0907476543 (4).pdf,2021-07-09 10:36:16,2022-03-24 22:58:07,81860,application/pdf
certificadoPensionista0907476543 (5).pdf,2021-09-18 09:39:51,2022-03-24 22:58:07,81864,application/pdf
certificadoPensionista0907476543 (6).pdf,2021-11-07 10:43:04,2022-03-24 22:58:07,81863,application/pdf
certificadoPensionista0907476543 (7).pdf,2021-11-07 10:44:00,2022-03-24 22:58:07,81863,application/pdf
certificadoPensionista0907476543 (8).pdf,2022-03-10 17:44:56,2022-03-24 22:58:07,81862,application/pdf
certificadoPensionista0907476543.pdf,2021-03-22 21:26:52,2022-03-24 22:58:07,81565,application/pdf
certificado_no_impedimento_0907476543_ruben_vasconez_b_0785870001505242542 (1).pdf,2021-03-16 19:25:42,2022-03-24 22:58:07,192908,application/pdf
certificado_no_impedimento_0907476543_ruben_vasconez_b_0785870001505242542.pdf,2020-06-23 20:32:34,2022-03-24 22:58:07,192908,application/pdf
CertificateOfCompletion_Agile Testing.pdf,2023-12-06 21:39:26,2023-12-06 21:40:04,72421,application/pdf
CertificateOfCompletion_Business Analysis Foundations Business Process Modeling.pdf,2023-04-03 11:18:42,2023-04-03 11:18:57,241065,application/pdf
CertificateOfCompletion_Business Analysis Foundations.pdf,2023-11-07 15:11:31,2023-11-07 15:11:35,73223,application/pdf
CertificateOfCompletion_Business Process Improvement.pdf,2023-04-07 20:34:30,2023-04-07 20:35:06,221609,application/pdf
CertificateOfCompletion_Corporate Finance Environmental Social and Governance ESG.pdf,2023-09-19 19:40:38,2023-09-19 19:40:52,108615,application/pdf
CertificateOfCompletion_DataDriven Project Management Project Metrics That Matter.pdf,2023-02-17 12:02:13,2023-02-17 12:02:32,262998,application/pdf
CertificateOfCompletion_Learning Data Analytics 1 Foundations.pdf,2023-01-26 10:52:53,2023-01-26 10:55:19,222379,application/pdf
CertificateOfCompletion_Learning Excel Data Analysis.pdf,2023-02-13 17:32:53,2023-02-13 17:33:43,222275,application/pdf
CertificateOfCompletion_Learning Power BI Desktop.pdf,2023-02-15 14:18:41,2023-02-15 15:19:20,222344,application/pdf
CertificateOfCompletion_Learning Visio for the Web and Desktop Microsoft 365.pdf,2023-03-14 16:39:19,2023-03-14 16:39:23,263607,application/pdf
CertificateOfCompletion_PostgreSQL Essential Training.pdf,2023-03-15 10:17:48,2023-03-15 10:18:07,222108,application/pdf
CertificateOfCompletion_Power BI Data Methods.pdf,2023-03-17 08:38:33,2023-03-17 08:38:44,221992,application/pdf
CertificateOfCompletion_Power BI Data Modeling with DAX.pdf,2023-02-22 12:06:06,2023-02-22 12:07:26,222396,application/pdf
CertificateOfCompletion_Power BI Essential Training 2020.pdf,2023-02-09 11:41:30,2023-02-09 11:41:34,222396,application/pdf
CertificateOfCompletion_Programming Foundations Software TestingQA.pdf,2023-10-11 18:58:38,2023-10-12 18:20:10,74917,application/pdf
CertificateOfCompletion_Software Testing Tips Weekly.pdf,2023-10-20 15:13:25,2023-10-20 15:13:30,73866,application/pdf
CertificateOfCompletion_SQL Essential Training 2019.pdf,2023-02-17 10:17:55,2023-02-17 10:18:15,222650,application/pdf
CertificateOfCompletion_SQL for Data Analysis.pdf,2023-02-22 10:18:35,2023-02-22 10:18:45,222020,application/pdf
CertificateOfCompletion_Succeeding in Software Testing.pdf,2023-10-30 22:14:43,2023-10-30 22:15:11,73775,application/pdf
certificate_template.pdf,2021-03-10 21:30:11,2022-03-24 22:58:07,151963,application/pdf
cédula Ruben Vásconez  (1).pdf,2021-02-10 21:54:54,2022-03-24 22:58:07,3646452,application/pdf
cédula Ruben Vásconez  (2).pdf,2021-02-10 21:54:54,2022-03-24 22:58:07,3646452,application/pdf
cédula Ruben Vásconez .pdf,2021-02-10 21:54:53,2022-03-24 22:58:08,3646452,application/pdf
Chad Saxon_Mobile_Engineer_032022.pdf,2022-06-13 13:56:52,2022-06-13 13:57:06,34500,application/pdf
Chad_Brinkman.pdf,2022-02-24 09:47:50,2022-03-24 22:58:08,107029,application/pdf
Chandan Kumar Sahu.pdf,2022-02-22 14:32:11,2022-03-24 22:58:08,74580,application/pdf
Chapter 01 Introduction (1).pptx,2023-03-08 09:21:03,2023-03-13 10:01:00,364251,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 01 Introduction.pptx,2023-01-16 20:17:43,2023-01-16 20:18:18,364251,application/vnd.openxmlformats-officedocument.presentationml.presentation
"Chapter 02-1 Entities, Attributes, and UID (1).pptx",2023-03-08 09:21:02,2023-04-07 18:05:02,661182,application/vnd.openxmlformats-officedocument.presentationml.presentation
"Chapter 02-1 Entities, Attributes, and UID.pptx",2023-01-16 20:17:54,2023-01-30 22:26:44,661182,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 02-2 Relationships.pptx,2023-03-08 10:01:15,2023-03-13 10:06:06,1005960,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 03-1 Recursive Relationships.pptx,2023-03-08 10:01:12,2023-03-13 09:58:45,273384,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 03-2 M-M Relationships.pptx,2023-03-08 10:01:17,2023-03-13 13:07:30,609611,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 03-3 Historical Modeling.pptx,2023-03-08 13:40:40,2023-03-13 12:13:35,349020,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 04-1 ERD using Barker Notation.pptx,2023-03-08 13:40:38,2023-03-13 17:19:46,1305463,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 04-2 Supertypes_Subtypes.pptx,2023-03-08 13:40:14,2023-03-13 09:58:43,708111,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 05 Normalization.pptx,2023-03-08 14:52:19,2023-03-13 10:06:05,475212,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 06-1 Relational Model.pptx,2023-03-08 14:52:18,2023-03-13 09:58:42,327125,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 07-1 Create Table Structure and Modifying Data.pptx,2023-03-08 16:01:40,2023-03-13 12:13:34,783358,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 08-1 Database Constraints Part 1 (1).pptx,2023-03-08 16:01:41,2023-03-15 09:24:52,942425,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 08-1 Database Constraints Part 1 (2) (1).pptx,2023-03-09 09:48:09,2023-03-13 09:58:43,932471,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 08-1 Database Constraints Part 1 (2).pptx,2023-02-17 11:11:54,2023-02-21 10:20:47,932471,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 08-2 Database Constraints Part 2 (2) (1).pptx,2023-03-09 09:48:09,2023-03-09 22:34:10,302527,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 08-2 Database Constraints Part 2 (2).pptx,2023-02-17 11:10:29,2023-02-21 10:20:47,302527,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 08-3 IDENTITY SEQUENCE (1) (1).pptx,2023-03-07 17:52:58,2023-03-07 17:53:43,387659,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 08-3 IDENTITY SEQUENCE (1) (2).pptx,2023-03-09 10:41:29,2023-03-31 14:15:36,387659,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 08-3 IDENTITY SEQUENCE (1).pptx,2023-02-24 08:09:07,2023-02-28 13:36:46,387659,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 09 SQL SELECT Statement (1).pptx,2023-03-07 17:52:59,2023-03-07 17:53:31,1710145,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 12 screenshots.docx,2023-03-24 22:20:47,2023-03-24 23:32:40,237220,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Chapter 13 screenshots.docx,2023-03-24 23:29:46,2023-03-24 23:29:46,195297,application/vnd.openxmlformats-officedocument.wordprocessingml.document
Chapter 13-1 Multiple-Table JOINs.pptx,2023-04-13 19:46:43,2023-04-24 12:09:08,2950468,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 14-1 Subqueries Single Row.pptx,2023-04-13 19:45:26,2023-04-21 13:52:42,584610,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 14-2 Subqueries Multiple-Row.pptx,2023-04-13 19:45:26,2023-04-24 12:09:08,1152167,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 15-1 Views  Indexes.pptx,2023-04-13 19:45:59,2023-04-24 12:09:08,978744,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 4 Lecture Slides (Instructor Version) (1).pptx,2022-10-14 10:03:04,2022-10-18 08:56:28,4120828,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 6 Lecture Slides (Instructor Version) (1) (1).pptx,2022-10-14 10:03:17,2022-10-18 08:56:25,4326440,application/vnd.openxmlformats-officedocument.presentationml.presentation
Chapter 6 Lecture Slides (Instructor Version) (1).pptx,2022-10-11 16:51:12,2022-10-16 21:36:20,4326440,application/vnd.openxmlformats-officedocument.presentationml.presentation
